player,player_column,appearances,coef_log,percent_effect,p_value,r_squared,n_obs
Stephen Curry,stephen_curry_played,25,0.5844160793151708,79.39431592278336,2.1002900456021377e-06,0.1554661066593389,194
Lebron James,lebron_james_played,23,0.30820972809007385,36.098639608462335,0.10006217506816596,0.10874304897689113,195
Anthony Davis,anthony_davis_played,28,0.2728105339102699,31.365132886436832,0.08677582483840894,0.10810689455140887,195
Nikola Jokic,nikola_jokic_played,22,0.27038598608181436,31.04701763741524,0.08225044068593092,0.10561315606639499,195
Jaylen Brown,jaylen_brown_played,27,0.2285604719950355,25.678952340381088,0.2074658399023419,0.10007938136832495,195
Jayson Tatum,jayson_tatum_played,29,0.14550389305106085,15.662223736285252,0.44541328050520257,0.09605116524456991,195
Bam Adebayo,bam_adebayo_played,15,0.12213832330152669,12.991038390607091,0.5200490399261688,0.09531402946217593,195
Jalen Brunson,jalen_brunson_played,13,0.11485019672987765,12.170538984969003,0.7298126170579027,0.09564963311127817,194
Tyrese Maxey,tyrese_maxey_played,19,0.1005215780110642,10.574750127847231,0.5392790085571002,0.09508991077159223,195
Luka Doncic,luka_doncic_played,15,0.09510239023896315,9.977145522353425,0.6225412363704282,0.09463786214928127,195
Damian Lillard,damian_lillard_played,21,0.04733237283868898,4.847043426743269,0.8236390229098346,0.09644557262721176,194
Julius Randle,julius_randle_played,10,0.043522008018150565,4.448298105948401,0.9115200777775029,0.09374356246719862,195
Giannis Antetokounmpo,giannis_antetokounmpo_played,20,-0.023825165244570096,-2.3543586646769588,0.9145661959080408,0.09367406540855872,195
Kevin Durant,kevin_durant_played,25,-0.0881480479458974,-8.437468975798934,0.5980690927331123,0.09505927554841698,195
Kawhi Leonard,kawhi_leonard_played,19,-0.09689902530788086,-9.23523490516015,0.5736364713645152,0.09295772796215218,194
Anthony Edwards,anthony_edwards_played,12,-0.1108914115173947,-10.496406575369054,0.6399275262136233,0.09466058763367524,195
Paul George,paul_george_played,20,-0.11890852485558395,-11.211098317669265,0.4727466659995161,0.0957986087359538,195
Devin Booker,devin_booker_played,21,-0.23293914754874964,-20.779822052225995,0.18258599192421943,0.10087372678528161,194
Shai Gilgeous Alexander,shai_gilgeous_alexander_played,11,-0.3273797281075276,-27.919002075731004,0.1456646440628105,0.10291663394669559,195
