player,games_played,games_not_played,avg_viewership_when_played,avg_viewership_when_not_played,difference
Stephen Curry,25,169,1516.68,920.7337278106509,595.9462721893492
Jaylen Brown,27,168,1273.2222222222222,950.2321428571429,322.9900793650793
Nikola Jokic,22,173,1277.090909090909,959.0751445086705,318.0157645822385
Jayson Tatum,29,166,1241.4827586206898,951.8855421686746,289.5972164520151
Lebron James,23,172,1245.695652173913,961.4244186046511,284.2712335692619
Anthony Davis,28,167,1183.6785714285713,963.311377245509,220.36719418306234
Luka Doncic,15,180,1145.6666666666667,982.3944444444444,163.27222222222235
Damian Lillard,21,173,1138.7619047619048,980.4739884393064,158.28791632259845
Giannis Antetokounmpo,20,175,1095.2,983.4971428571429,111.70285714285717
Julius Randle,10,185,1068.4,990.9837837837838,77.4162162162163
Joel Embiid,9,184,1067.0,989.945652173913,77.054347826087
Jalen Brunson,13,181,1058.1538461538462,990.4475138121547,67.70633234169145
Tyrese Maxey,19,176,1037.7368421052631,990.3352272727273,47.40161483253587
Kevin Durant,25,170,1023.44,990.7647058823529,32.67529411764713
Bam Adebayo,15,180,992.4666666666667,995.1611111111112,-2.694444444444457
Devin Booker,21,173,881.7142857142857,1006.3121387283237,-124.59785301403804
Kawhi Leonard,19,175,869.578947368421,1006.6857142857143,-137.10676691729327
Paul George,20,175,837.3,1012.9714285714285,-175.67142857142858
Karl Anthony Towns,5,190,780.6,1000.5947368421052,-219.99473684210523
Tyrese Haliburton,8,187,758.875,1005.0534759358288,-246.17847593582883
Anthony Edwards,12,183,756.5833333333334,1010.5846994535519,-254.00136612021856
Shai Gilgeous Alexander,11,184,752.1818181818181,1009.4673913043479,-257.28557312252974
Donovan Mitchell,5,190,604.4,1005.2315789473685,-400.8315789473685
Scottie Barnes,3,192,505.0,1002.609375,-497.609375
Paolo Banchero,5,190,443.2,1009.4736842105264,-566.2736842105264
Trae Young,4,190,344.75,1012.6473684210526,-667.8973684210526
