GAME_ID,game_date,holiday,spread,total,teams,team_1_raw,team_2_raw,team_1_full,team_2_full,network,vwrs,a18-49,pace_game,pct_points_from_3pt,pct_fga_from_3pt,totalallstarsplayed,giannis_antetokounmpo_played,jayson_tatum_played,joel_embiid_played,tyrese_haliburton_played,damian_lillard_played,bam_adebayo_played,paolo_banchero_played,jaylen_brown_played,jalen_brunson_played,tyrese_maxey_played,donovan_mitchell_played,julius_randle_played,trae_young_played,scottie_barnes_played,lebron_james_played,kevin_durant_played,nikola_jokic_played,luka_doncic_played,shai_gilgeous_alexander_played,devin_booker_played,stephen_curry_played,anthony_davis_played,anthony_edwards_played,paul_george_played,kawhi_leonard_played,karl_anthony_towns_played,points,mov,PCT_PTS_2PT_MR_GAME,PCT_PTS_FB_GAME,PCT_PTS_FT_GAME,team_1_net_rating,team_2_net_rating,avg_net_rating,close_game,YT_view_count,YT_like_count,YT_comment_count
22300150,2023-11-06,0,1.5,222.5,LA LAKERS / MIAMI,LA LAKERS,MIAMI,Los Angeles Lakers,Miami Heat,NBATV,362,163.0,99.0,0.27907,0.372781,3,0,0,0.0,0,0.0,1,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,0.0,0.0,1,0,0,0.0,0,215,1,0.049434,0.087132,0.058738,0.1,2.0,1.05,0,1904295.0,15550.0,3243.0
22300161,2023-11-08,0,9.5,223.5,SAN ANTONIO / NEW YORK,SAN ANTONIO,NEW YORK,San Antonio Spurs,New York Knicks,ESPN,1652,737.0,98.0,0.363636,0.4,2,0,0,0.0,0,0.0,0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,231,21,0.056273,0.054994,0.048661,-5.5,4.4,-0.55,0,710929.0,5282.0,760.0
22300169,2023-11-08,0,4.5,227.5,GOLDEN STATE / DENVER,GOLDEN STATE,DENVER,Golden State Warriors,Denver Nuggets,ESPN,1852,835.0,97.0,0.309859,0.393258,2,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,0,0.0,1.0,0,0,0,0.0,0,213,3,0.052639,0.079957,0.105948,1.9,5.4,3.65,1,1579448.0,13168.0,1671.0
22300171,2023-11-09,0,1.5,239.5,MILWAUKEE / INDIANA,MILWAUKEE,INDIANA,Milwaukee Bucks,Indiana Pacers,NBATV,480,196.0,101.5,0.348,0.418994,2,1,0,0.0,1,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,250,2,0.040372,0.064253,0.076034,2.1,2.6,2.35,0,666308.0,5878.0,677.0
22300172,2023-11-09,0,3.5,232.5,ATLANTA / ORLANDO,ATLANTA,ORLANDO,Atlanta Hawks,Orlando Magic,NBATV,435,218.0,104.0,0.313808,0.377143,2,0,0,0.0,0,0.0,0,1,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,239,1,0.020364,0.163652,0.132431,-2.0,1.2,-0.4,1,268345.0,3017.0,214.0
22300010,2023-11-10,0,11.5,229.5,BROOKLYN / BOSTON,BROOKLYN,BOSTON,Brooklyn Nets,Boston Celtics,ESPN,1408,599.0,97.0,0.447368,0.497207,2,0,1,0.0,0,0.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,228,14,0.071477,0.062638,0.162497,-2.4,11.0,4.3,0,356267.0,3516.0,338.0
22300015,2023-11-10,0,2.5,223.5,LA LAKERS / PHOENIX,LA LAKERS,PHOENIX,Los Angeles Lakers,Phoenix Suns,ESPN,1929,888.0,99.0,0.3361,0.359551,3,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,1,0,0,0,0.0,0.0,1,0,0,0.0,0,241,3,0.029353,0.088995,0.118643,0.1,3.0,1.55,1,2201640.0,21211.0,1904.0
22300176,2023-11-11,0,4.5,224.5,CLEVELAND / GOLDEN STATE,CLEVELAND,GOLDEN STATE,Cleveland Cavaliers,Golden State Warriors,NBATV,645,221.0,104.5,0.315789,0.386364,2,0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0.0,1.0,0,0,0,0.0,0,228,8,0.046339,0.076091,0.236626,3.3,1.9,2.6,0,1177771.0,9457.0,1170.0
22300188,2023-11-13,0,9.5,220.5,NEW YORK / BOSTON,NEW YORK,BOSTON,New York Knicks,Boston Celtics,NBATV,323,0.09,86.5,0.481132,0.493671,4,0,1,0.0,0,0.0,0,0,1,1.0,0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,212,16,0.036035,0.043147,0.066239,4.4,11.0,7.7,0,558789.0,5472.0,523.0
22300191,2023-11-13,0,3.5,228.5,CLEVELAND / SACRAMENTO,CLEVELAND,SACRAMENTO,Cleveland Cavaliers,Sacramento Kings,NBATV,288,0.1,95.5,0.428571,0.442529,1,0,0,0.0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,252,12,0.023372,0.032628,0.051818,3.3,2.0,2.65,0,329630.0,2982.0,234.0
