player,team,team_games,games_played,games_missed,avg_viewership_when_played,avg_viewership_when_missed,difference
Nikola Jokic,DENVER,16,15,1,1137.2666666666667,247.0,890.2666666666667
Stephen Curry,GOLDEN STATE,14,13,1,1269.8461538461538,495.0,774.8461538461538
Damian Lillard,MILWAUKEE,15,13,2,946.7692307692307,410.5,536.2692307692307
Tyrese Maxey,PHILADELPHIA,16,13,3,903.0769230769231,407.6666666666667,495.4102564102564
Kevin Durant,PHOENIX,17,16,1,826.625,392.0,434.625
Lebron James,LA LAKERS,20,16,4,1012.0625,777.75,234.3125
Giannis Antetokounmpo,MILWAUKEE,15,12,3,905.9166666666666,752.6666666666666,153.25
Jaylen Brown,BOSTON,16,13,3,1024.2307692307693,871.6666666666666,152.56410256410265
Trae Young,ATLANTA,8,4,4,344.75,269.5,75.25
Karl Anthony Towns,MINNESOTA,10,4,6,756.75,716.5,40.25
Joel Embiid,PHILADELPHIA,16,5,11,829.8,801.2727272727273,28.527272727272702
Kawhi Leonard,LA CLIPPERS,17,15,2,801.8,819.0,-17.200000000000045
Julius Randle,NEW YORK,9,7,2,902.5714285714286,991.0,-88.42857142857144
Donovan Mitchell,CLEVELAND,9,5,4,604.4,1030.5,-426.1
Anthony Davis,LA LAKERS,20,19,1,939.0,1463.0,-524.0
Devin Booker,PHOENIX,17,14,3,696.5714285714286,1288.6666666666667,-592.0952380952382
Shai Gilgeous Alexander,OKLAHOMA CITY,7,6,1,565.1666666666666,1166.0,-600.8333333333334
Paul George,LA CLIPPERS,17,15,2,721.5333333333333,1421.0,-699.4666666666667
